player_id,player_name,team_shortname,sprinting_events,avg_sprint_duration_secs,med_sprint_duration_secs,avg_sprint_distance_metres,total_sprint_distance_metres,passes,pass_success_pct,avg_pass_distance_m,avg_xthreat_targeted,pct_forward_passes,pct_lead_to_shot,shots,goals,conversion_pct,header_rate_pct,avg_shot_distance_m
957737,D. Leonard,Western United,,,,,,138,75.4,16.49,0.002,53.6,0.7,,,,,
962802,R. White,Adelaide United,,,,,,7,85.7,8.57,0.017,42.9,14.3,,,,,
965697,L. Herrington,Brisbane FC,1,0.0,0.0,0.0,0.0,88,83.0,16.2,0.002,60.2,0.0,,,,,
966113,W. Freney,Perth Glory,,,,,,2,100.0,2.72,0.004,50.0,0.0,,,,,
966117,D. Bosnjak,Macarthur FC,2,1.95,1.7,13.53,27.06,5,60.0,11.94,0.01,20.0,0.0,,,,,
972648,L. Wong,Melbourne City,,,,,,2,50.0,7.33,0.059,0.0,0.0,,,,,
972687,L. Brooke-Smith,Wellington P FC,4,4.9,4.6,37.94,151.75,3,33.3,13.08,0.025,33.3,0.0,,,,,
972981,M. Ghossaini,Melbourne City,,,,,,2,100.0,6.8,0.018,50.0,0.0,,,,,
973077,M. Ghossaini,Melbourne City,,,,,,4,100.0,11.36,0.006,0.0,0.0,,,,,
973078,F. Talladira,Adelaide United,1,6.1,6.1,43.05,43.05,35,82.9,13.71,0.004,62.9,2.9,,,,,
